Model,Accuracy,Precision,Recall,F1 Score,AUC
Logistic Regression,0.8032786885245902,0.8,0.8484848484848485,0.8235294117647058,0.8712121212121212
Decision Tree,0.8032786885245902,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.801948051948052
Random Forest,0.7540983606557377,0.7647058823529411,0.7878787878787878,0.7761194029850746,0.8587662337662337
XGBoost,0.7213114754098361,0.7352941176470589,0.7575757575757576,0.746268656716418,0.8322510822510822
Gaussian Naive Bayes,0.7868852459016393,0.8333333333333334,0.7575757575757576,0.7936507936507936,0.8841991341991342
K-Nearest Neighbors,0.7868852459016393,0.7777777777777778,0.8484848484848485,0.8115942028985508,0.8376623376623378
Stacking Ensemble (Deduplicated: 302 Records),0.7540983606557377,0.7647058823529411,0.7878787878787878,0.7761194029850746,0.8625541125541126
